State,HDI,High/Low,South/North
Kerala,0.78,High HDI,South
Chandigarh,0.77,High HDI,North
Goa,0.76,High HDI,North
Lakshadweep,0.75,High HDI,North
Delhi,0.74,High HDI,North
Andaman and Nicobar Islands,0.74,High HDI,South
Puducherry,0.74,High HDI,South
Punjab,0.72,High HDI,North
Himachal Pradesh,0.72,High HDI,North
Sikkim,0.72,High HDI,North
Tamil Nadu,0.71,High HDI,South
Daman and Diu,0.71,High HDI,North
Haryana,0.70,High HDI,North
Mizoram,0.70,Medium HDI,North
Maharashtra,0.70,Medium HDI,North
Manipur,0.70,Medium HDI,North
Jammu and Kashmir,0.68,Medium HDI,North
Karnataka,0.68,Medium HDI,South
Uttarakhand,0.68,Medium HDI,North
Nagaland,0.68,Medium HDI,North
Gujarat,0.67,Medium HDI,North
Telangana,0.66,Medium HDI,South
Dadra and Nagar Haveli,0.66,Medium HDI,North
Arunachal Pradesh,0.66,Medium HDI,North
Tripura,0.66,Medium HDI,North
Meghalaya,0.65,Medium HDI,North
Andhra Pradesh,0.64,Medium HDI,South
West Bengal,0.64,Medium HDI,North
Rajasthan,0.62,Low HDI,North
Assam,0.61,Low HDI,North
Chhattisgarh,0.60,Low HDI,North
Odisha,0.60,Low HDI,North
Madhya Pradesh,0.59,Low HDI,North
Jharkhand,0.59,Low HDI,North
Uttar Pradesh,0.58,Low HDI,North
Bihar,0.57,Low HDI,North
